居る,い[る-
着る,き[る-
似る,に[る-
煮る,に[る-
寝る,ね[る-
開ける,あ[ける-
空ける,あ[ける-
揚げる,あ[げる-
上げる,あ[げる-
挙げる,あ[げる-
当てる,あ[てる-
宛てる,あ[てる-
浴びる,あ[びる-
荒れる,あ[れる-
入れる,い[れる-
淹れる,い[れる-
植える,う[える-
埋める,う[める-
売れる,う[れる-
終える,お[える-
換える,か[える-
変える,か[える-
代える,か[える-
欠ける,か[ける-
借りる,か[りる-
枯れる,か[れる-
涸れる,か[れる-
消える,き[える-
着せる,き[せる-
決める,き[める-
くれる,く[れる-
暮れる,く[れる-
越える,こ[える-
超える,こ[える-
浸みる,し[みる-
染みる,し[みる-
洒落る,しゃ[れる-
据える,す[える-
捨てる,す[てる-
添える,そ[える-
染める,そ[める-
溜める,た[める-
足りる,た[りる-
漬ける,つ[ける-
告げる,つ[げる-
連れる,つ[れる-
停める,と[める-
止める,と[める-
泊める,と[める-
退ける,ど[ける-
煮える,に[える-
抜ける,ぬ[ける-
濡れる,ぬ[れる-
載せる,の[せる-
乗せる,の[せる-
はめる,は[める-
腫れる,は[れる-
触れる,ふ[れる-
負ける,ま[ける-
曲げる,ま[げる-
真似る,ま[ねる-
向ける,む[ける-
燃える,も[える-
揉める,も[める-
焼ける,や[ける-
痩せる,や[せる-
辞める,や[める-
止める,や[める-
揺れる,ゆ[れる-
寄せる,よ[せる-
詫びる,わ[びる-
割れる,わ[れる-
呆れる,あ[きれる-
与える,あ[たえる-
暴れる,あ[ばれる-
甘える,あ[まえる-
慌てる,あ[わてる-
案じる,あ[んじる-
いじめる,い[じめる-
浮かべる,う[かべる-
薄める,う[すめる-
薄れる,う[すれる-
埋める,う[ずめる-
生まれる,う[まれる-
演じる,え[んじる-
応じる,お[うじる-
遅らす,お[くらす-
遅れる,お[くれる-
教える,お[しえる-
おだてる,お[だてる-
怯える,お[びえる-
溺れる,お[ぼれる-
抱える,か[かえる-
掲げる,か[かげる-
屈める,か[がめる-
重ねる,か[さねる-
固める,か[ためる-
感じる,か[んじる-
聞こえる,き[こえる-
気に入る,き[にいる-
比べる,く[らべる-
加える,く[わえる-
咥える,く[わえる-
講じる,こ[うじる-
凍える,こ[ごえる-
咲かせる,さ[かせる-
支える,さ[さえる-
捧げる,さ[さげる-
沈める,し[ずめる-
萎びる,し[なびる-
生じる,しょ[うじる-
知らせる,し[らせる-
準じる,じゅ[んじる-
勧める,す[すめる-
進める,す[すめる-
廃れる,す[たれる-
違える,ち[がえる-
縮める,ち[ぢめる-
縮れる,ち[ぢれる-
通じる,つ[うじる-
伝える,つ[たえる-
続ける,つ[づける-
繋げる,つ[なげる-
潰れる,つ[ぶれる-
転じる,て[んじる-
出かける,で[かける-
投じる,と[うじる-
並べる,な[らべる-
寝かせる,ね[かせる-
始める,は[じめる-
外れる,は[ずれる-
広げる,ひ[ろげる-
膨れる,ふ[くれる-
震える,ふ[るえる-
ぶつける,ぶ[つける-
報じる,ほ[うじる-
纏める,ま[とめる-
丸める,ま[るめる-
見飽きる,み[あきる-
見上げる,み[あげる-
見掛ける,み[かける-
見据える,み[すえる-
見捨てる,み[すてる-
見つける,み[つける-
見詰める,み[つめる-
認める,み[とめる-
見慣れる,み[なれる-
