する,す[る-
感ずる,か[んじる-
察する,さ[っする-
邪魔する,じゃ[まする-
接する,せ[っする-
達する,た[っする-
脱する,だ[っする-
徹する,て[っする-
熱する,ね[っする-
罰する,ば[っする-
欠伸する,あ[くびする-
値する,あ[たいする-
悪化する,あ[っかする-
暗記する,あ[んきする-
暗示する,あ[んじする-
家出する,い[えでする-
移行する,い[こうする-
移植する,い[しょくする-
移住する,い[じゅうする-
依存する,い[ぞんする-
委託する,い[たくする-
移転する,い[てんする-
遺伝する,い[でんする-
異動する,い[どうする-
移動する,い[どうする-
違反する,い[はんする-
依頼する,い[らいする-
薄着する,う[すぎする-
浮気する,う[わきする-
延期する,え[んきする-
遠慮する,え[んりょする-
応募する,お[うぼする-
お邪魔する,お[じゃまする-
汚染する,お[せんする-
お詫びする,お[わびする-
開始する,か[いしする-
会話する,か[いわする-
可決する,か[けつする-
加工する,か[こうする-
下降する,か[こうする-
課税する,か[ぜいする-
加速する,か[そくする-
仮定する,か[ていする-
加入する,か[にゅうする-
加熱する,か[ねつする-
緩和する,か[んわする-
記憶する,き[おくする-
企画する,き[かくする-
帰国する,き[こくする-
記載する,き[さいする-
起床する,き[しょうする-
規制する,き[せいする-
寄贈する,き[ぞうする-
期待する,き[たいする-
帰宅する,き[たくする-
規定する,き[ていする-
起動する,き[どうする-
記入する,き[にゅうする-
記念する,き[ねんする-
希望する,き[ぼうする-
教授する,きょ[うじゅする-
挙式する,きょ[しきする-
起用する,き[ようする-
記録する,き[ろくする-
禁止する,き[んしする-
偽造する,ぎ[ぞうする-
苦闘する,く[とうする-
工夫する,く[ふうする-
区分する,く[ぶんする-
経過する,け[いかする-
傾斜する,け[いしゃする-
掲示する,け[いじする-
喧嘩する,け[んかする-
交差する,こ[うさする-
公募する,こ[うぼする-
呼吸する,こ[きゅうする-
故障する,こ[しょうする-
誇張する,こ[ちょうする-
固定する,こ[ていする-
雇用する,こ[ようする-
孤立する,こ[りつする-
誤解する,ご[かいする-
細工する,さ[いくする-
参加する,さ[んかする-
酸化する,さ[んかする-
散歩する,さ[んぽする-
試合する,し[あいする-
飼育する,し[いくする-
試飲する,し[いんする-
支給する,し[きゅうする-
刺激する,し[げきする-
志向する,し[こうする-
施行する,し[こうする-
思考する,し[こうする-
試行する,し[こうする-
試作する,し[さくする-
視察する,し[さつする-
試食する,し[しょくする-
支度する,し[たくする-
試着する,し[ちゃくする-
指定する,し[ていする-
指摘する,し[てきする-
指導する,し[どうする-
志望する,し[ぼうする-
死亡する,し[ぼうする-
主演する,しゅ[えんする-
主催する,しゅ[さいする-
取材する,しゅ[ざいする-
主張する,しゅ[ちょうする-
出社する,しゅ[っしゃする-
主導する,しゅ[どうする-
消化する,しょ[うかする-
承知する,しょ[うちする-
消費する,しょ[うひする-
食事する,しょ[くじする-
署名する,しょ[めいする-
所有する,しょ[ゆうする-
使用する,し[ようする-
指令する,し[れいする-
自覚する,じ[かくする-
自殺する,じ[さつする-
持参する,じ[さんする-
自習する,じ[しゅうする-
辞職する,じ[しょくする-
持続する,じ[ぞくする-
実施する,じ[っしする-
自慢する,じ[まんする-
受験する,じゅ[けんする-
受賞する,じゅ[しょうする-
受信する,じゅ[しんする-
受精する,じゅ[せいする-
樹立する,じゅ[りつする-
乗車する,じょ[うしゃする-
除外する,じょ[がいする-
助言する,じょ[げんする-
徐行する,じょ[こうする-
自立する,じ[りつする-
炊事する,す[いじする-
静止する,せ[いしする-
設置する,せ[っちする-
掃除する,そ[うじする-
送付する,そ[うふする-
増加する,ぞ[うかする-
退社する,た[いしゃする-
退治する,た[いじする-
妥協する,だ[きょうする-
遅刻する,ち[こくする-
ちゃんとする,ちゃ[んとする-
中止する,ちゅ[うしする-
駐車する,ちゅ[うしゃする-
注射する,ちゅ[うしゃする-
超過する,ちょ[うかする-
貯金する,ちょ[きんする-
貯蔵する,ちょ[ぞうする-
貯蓄する,ちょ[ちくする-
治療する,ち[りょうする-
追加する,つ[いかする-
通過する,つ[うかする-
通知する,つ[うちする-
低下する,て[いかする-
停止する,て[いしする-
停車する,て[いしゃする-
徹夜する,て[つやする-
点火する,て[んかする-
展示する,て[んじする-
添付する,て[んぷする-
電話する,で[んわする-
投資する,と[うしする-
投書する,と[うしょする-
突破する,と[っぱする-
同意する,ど[ういする-
同居する,ど[うきょする-
入社する,にゅ[うしゃする-
入手する,にゅ[うしゅする-
値引する,ね[びきする-
寝坊する,ね[ぼうする-
把握する,は[あくする-
廃止する,は[いしする-
配置する,は[いちする-
配布する,は[いふする-
破壊する,は[かいする-
派遣する,は[けんする-
破産する,は[さんする-
破損する,は[そんする-
発揮する,は[っきする-
発車する,は[っしゃする-
発射する,は[っしゃする-
発芽する,は[つがする-
破裂する,は[れつする-
反射する,は[んしゃする-
爆破する,ば[くはする-
比較する,ひ[かくする-
否決する,ひ[けつする-
飛行する,ひ[こうする-
否定する,ひ[ていする-
否認する,ひ[にんする-
批判する,ひ[はんする-
批評する,ひ[ひょうする-
飛躍する,ひ[やくする-
表示する,ひょ[うじする-
昼寝する,ひ[るねする-
比例する,ひ[れいする-
疲労する,ひ[ろうする-
微動する,び[どうする-
描写する,びょ[うしゃする-
風化する,ふ[うかする-
普及する,ふ[きゅうする-
複写する,ふ[くしゃする-
布告する,ふ[こくする-
負傷する,ふ[しょうする-
不足する,ふ[そくする-
付属する,ふ[ぞくする-
負担する,ふ[たんする-
赴任する,ふ[にんする-
扶養する,ふ[ようする-
噴火する,ふ[んかする-
侮辱する,ぶ[じょくする-
分布する,ぶ[んぷする-
分離する,ぶ[んりする-
閉鎖する,へ[いさする-
別居する,べ[っきょする-
放射する,ほ[うしゃする-
